"Età","Maschi","Femmine","Totale"
"0","31553","29873","61426"
"1","33498","31727","65225"
"2","33814","31358","65172"
"3","33307","31485","64792"
"4","33717","31816","65533"
"5","33130","31346","64476"
"6","33656","31319","64975"
"7","31805","29686","61491"
"8","30975","28877","59852"
"9","30475","28578","59053"
"10","28939","27002","55941"
"11","27409","25380","52789"
"12","26247","24233","50480"
"13","24445","22534","46979"
"14","23554","21917","45471"
"15","22096","20125","42221"
"16","22550","19720","42270"
"17","24220","19942","44162"
"18","27545","18974","46519"
"19","33681","19108","52789"
"20","40047","21569","61616"
"21","39578","24039","63617"
"22","39297","25947","65244"
"23","39063","28483","67546"
"24","39197","31462","70659"
"25","38788","33926","72714"
"26","42366","37894","80260"
"27","42166","40040","82206"
"28","47695","44871","92566"
"29","49138","49471","98609"
"30","52836","53783","106619"
"31","54533","56510","111043"
"32","55666","57240","112906"
"33","55646","56820","112466"
"34","56769","57534","114303"
"35","55382","56846","112228"
"36","58100","58463","116563"
"37","56890","57836","114726"
"38","59848","58767","118615"
"39","57217","58324","115541"
"40","56845","57101","113946"
"41","54377","55590","109967"
"42","52279","54876","107155"
"43","50311","53358","103669"
"44","47545","51927","99472"
"45","43445","48755","92200"
"46","42929","48660","91589"
"47","39397","47256","86653"
"48","39512","46868","86380"
"49","37455","46515","83970"
"50","37064","47371","84435"
"51","33251","45276","78527"
"52","28119","37219","65338"
"53","26487","36103","62590"
"54","24838","36135","60973"
"55","22732","35275","58007"
"56","21439","34233","55672"
"57","18670","33125","51795"
"58","18547","33037","51584"
"59","15997","30481","46478"
"60","14966","29079","44045"
"61","13376","26519","39895"
"62","12125","24315","36440"
"63","10923","22204","33127"
"64","9521","20001","29522"
"65","8181","17552","25733"
"66","7424","16106","23530"
"67","6292","13859","20151"
"68","6263","13224","19487"
"69","5407","11536","16943"
"70","4849","9893","14742"
"71","4224","8168","12392"
"72","3723","6857","10580"
"73","3163","5547","8710"
"74","3018","5119","8137"
"75","2765","4666","7431"
"76","2794","4703","7497"
"77","2214","3700","5914"
"78","2362","4077","6439"
"79","1907","3162","5069"
"80","1786","2905","4691"
"81","1534","2517","4051"
"82","1371","2138","3509"
"83","1184","1746","2930"
"84","949","1483","2432"
"85","764","1184","1948"
"86","682","1105","1787"
"87","467","772","1239"
"88","500","898","1398"
"89","313","565","878"
"90","269","490","759"
"91","220","410","630"
"92","162","313","475"
"93","139","283","422"
"94","94","190","284"
"95","82","178","260"
"96","58","123","181"
"97","46","79","125"
"98","33","95","128"
"99","22","42","64"
"100 e oltre","36","84","120"
"Totale","2414285","2581873","4996158"