"Età","Maschi","Femmine","Totale"
"0","25955","24645","50600"
"1","26364","24887","51251"
"2","26852","25697","52549"
"3","29491","27707","57198"
"4","30847","29069","59916"
"5","31631","29698","61329"
"6","32797","30741","63538"
"7","32573","30153","62726"
"8","31972","29841","61813"
"9","31847","29953","61800"
"10","30867","28927","59794"
"11","31302","28942","60244"
"12","29420","27058","56478"
"13","29092","26543","55635"
"14","28831","26505","55336"
"15","28434","25981","54415"
"16","28233","24652","52885"
"17","29129","23781","52910"
"18","26835","18882","45717"
"19","29066","18123","47189"
"20","28456","18151","46607"
"21","29777","19678","49455"
"22","32532","22035","54567"
"23","38494","24907","63401"
"24","43996","26918","70914"
"25","49224","29830","79054"
"26","48390","32910","81300"
"27","49225","35396","84621"
"28","49108","38282","87390"
"29","49269","40765","90034"
"30","48291","42131","90422"
"31","51515","45447","96962"
"32","49458","46087","95545"
"33","54556","49376","103932"
"34","54636","52423","107059"
"35","58211","55520","113731"
"36","58753","57067","115820"
"37","58642","56982","115624"
"38","57952","55835","113787"
"39","57745","55905","113650"
"40","55869","54694","110563"
"41","57751","55970","113721"
"42","55603","54754","110357"
"43","57637","55402","113039"
"44","53892","55079","108971"
"45","53120","53935","107055"
"46","50638","52930","103568"
"47","48461","51906","100367"
"48","46864","50828","97692"
"49","43840","49210","93050"
"50","40097","46630","86727"
"51","39602","46417","86019"
"52","36263","45062","81325"
"53","36110","44589","80699"
"54","34439","43995","78434"
"55","33763","44531","78294"
"56","30284","42308","72592"
"57","25769","35288","61057"
"58","24162","33990","58152"
"59","22604","33999","56603"
"60","20559","32950","53509"
"61","19253","31758","51011"
"62","16573","30007","46580"
"63","16412","29549","45961"
"64","14044","26621","40665"
"65","12869","25136","38005"
"66","11375","22730","34105"
"67","10429","20488","30917"
"68","9355","18396","27751"
"69","8082","16289","24371"
"70","6858","14023","20881"
"71","6274","12759","19033"
"72","5365","10808","16173"
"73","5284","10276","15560"
"74","4593","8813","13406"
"75","4045","7607","11652"
"76","3502","6359","9861"
"77","2915","5249","8164"
"78","2496","4160","6656"
"79","2322","3851","6173"
"80","2032","3564","5596"
"81","1977","3490","5467"
"82","1472","2673","4145"
"83","1559","2801","4360"
"84","1161","2161","3322"
"85","1060","1955","3015"
"86","906","1579","2485"
"87","735","1275","2010"
"88","630","1006","1636"
"89","473","802","1275"
"90","364","648","1012"
"91","293","548","841"
"92","186","334","520"
"93","185","351","536"
"94","117","232","349"
"95","70","165","235"
"96","52","149","201"
"97","50","106","156"
"98","57","131","188"
"99","35","78","113"
"100 e oltre","95","184","279"
"Totale","2602650","2651008","5253658"